date,disinfectants,thermometers,oat milk,rubbing alcohol,powdered milk,hydrogen peroxide,mask,sanitizer,toilet paper,disposable gloves
2015-04-19,2,7,2,8,7,28,6,1,2,1
2015-04-26,3,6,2,9,7,28,6,1,2,7
2015-05-03,2,7,2,9,8,26,6,1,2,1
2015-05-10,2,8,2,9,10,27,6,1,2,2
2015-05-17,2,8,2,7,7,29,6,1,2,1
2015-05-24,1,7,3,9,10,28,6,1,2,3
2015-05-31,1,7,2,11,7,28,6,1,2,2
2015-06-07,1,8,2,8,5,28,6,1,2,4
2015-06-14,2,6,2,9,10,25,6,1,2,2
2015-06-21,1,5,2,10,7,29,6,1,2,1
2015-06-28,2,6,4,9,9,30,6,1,2,0
2015-07-05,3,7,2,11,10,30,6,1,2,1
2015-07-12,1,5,3,11,10,29,6,1,2,2
2015-07-19,1,7,1,10,9,31,6,1,2,3
2015-07-26,1,5,2,12,9,29,6,1,2,1
2015-08-02,1,5,2,11,8,30,6,1,2,2
2015-08-09,3,5,3,10,9,28,6,1,2,2
2015-08-16,1,9,1,10,9,27,6,1,2,2
2015-08-23,1,7,3,9,9,27,6,1,2,3
2015-08-30,2,9,2,9,9,28,6,1,2,4
2015-09-06,3,8,2,14,10,30,7,1,2,2
2015-09-13,2,11,3,10,10,30,7,1,2,2
2015-09-20,4,7,2,11,6,29,7,1,2,3
2015-09-27,4,8,2,9,7,31,8,1,2,2
2015-10-04,4,10,1,9,9,30,8,1,2,1
2015-10-11,3,10,3,9,9,30,9,1,2,4
2015-10-18,2,9,3,11,11,32,10,1,2,2
2015-10-25,4,7,3,9,7,30,14,1,2,5
2015-11-01,3,8,2,9,16,29,8,1,2,2
2015-11-08,3,10,2,9,9,29,6,1,2,3
2015-11-15,3,10,2,10,11,29,7,1,2,2
2015-11-22,2,9,1,10,11,24,6,1,2,2
2015-11-29,1,10,2,10,10,29,6,1,2,3
2015-12-06,2,9,3,9,11,29,6,1,2,2
2015-12-13,2,10,2,7,16,27,6,1,2,3
2015-12-20,2,11,3,10,17,24,7,1,2,3
