date,disinfectants,thermometers,oat milk,rubbing alcohol,powdered milk,hydrogen peroxide,mask,sanitizer,toilet paper,disposable gloves
2020-01-01,3,0,21,5,35,4,0,2,5,46
2020-01-02,8,0,29,3,40,6,1,2,5,42
2020-01-03,6,1,39,4,41,7,0,2,6,53
2020-01-04,5,2,21,4,67,9,1,2,6,56
2020-01-05,4,0,51,4,51,8,1,2,7,40
2020-01-06,7,1,29,6,46,9,1,2,3,58
2020-01-07,7,0,0,5,37,10,1,0,6,28
2020-01-08,9,3,58,4,39,6,1,2,5,42
2020-01-09,4,0,59,4,47,7,1,0,5,32
2020-01-10,7,0,100,5,29,17,1,0,4,32
2020-01-11,5,1,29,2,33,3,1,0,5,34
2020-01-12,9,2,32,3,43,9,1,0,5,22
2020-01-13,5,1,48,4,54,9,1,0,4,41
2020-01-14,9,0,26,6,69,16,1,0,6,38
2020-01-15,8,1,29,4,55,9,1,0,5,41
2020-01-16,5,0,20,4,48,13,1,0,2,32
2020-01-17,5,2,31,3,47,13,1,0,5,29
2020-01-18,6,0,66,3,57,11,1,5,2,39
2020-01-19,7,0,22,2,47,7,1,7,5,68
2020-01-20,7,2,41,3,35,5,2,2,6,44
2020-01-21,12,3,40,6,37,10,11,18,2,61
2020-01-22,16,7,21,10,30,10,16,27,3,42
2020-01-23,19,3,45,13,28,24,13,18,3,37
2020-01-24,10,2,25,10,33,14,10,9,2,22
2020-01-25,18,3,45,12,48,13,16,16,5,41
2020-01-26,24,9,45,24,37,22,25,34,3,32
2020-01-27,30,10,64,24,35,19,41,47,4,42
2020-01-28,44,22,21,37,36,18,71,67,6,49
2020-01-29,70,45,32,72,57,44,84,90,8,31
2020-01-30,77,100,29,97,30,78,100,100,7,100
2020-01-31,81,82,0,91,39,73,76,86,7,82
2020-02-01,61,38,32,77,37,44,58,58,7,46
2020-02-02,53,29,53,74,40,63,55,55,9,64
2020-02-03,100,62,35,100,54,66,72,71,8,51
2020-02-04,90,40,48,89,48,71,52,56,9,55
2020-02-05,76,45,39,83,37,84,45,47,8,65
2020-02-06,76,41,38,68,68,88,65,77,29,58
2020-02-07,84,44,19,67,58,100,55,80,100,57
2020-02-08,76,44,21,66,66,97,42,62,75,57
2020-02-09,60,13,64,63,36,72,40,38,53,61
2020-02-10,74,43,47,81,38,56,37,49,50,64
2020-02-11,65,26,46,66,44,64,29,62,26,39
2020-02-12,44,22,56,52,35,47,26,50,16,43
2020-02-13,45,31,36,55,47,71,28,55,14,48
2020-02-14,45,28,27,48,38,55,24,45,13,26
2020-02-15,33,15,56,46,39,42,23,30,10,57
2020-02-16,37,18,61,46,27,45,24,39,11,80
2020-02-17,46,34,47,64,36,65,26,57,13,77
2020-02-18,50,37,28,71,43,41,25,43,8,48
2020-02-19,59,49,47,75,55,72,26,65,8,47
2020-02-20,55,44,18,86,53,56,26,44,11,43
2020-02-21,49,45,46,87,49,79,26,62,7,56
