date,disinfectants,thermometers,oat milk,rubbing alcohol,powdered milk,hydrogen peroxide,mask,sanitizer,toilet paper,disposable gloves
2020-01-01,3,3,35,9,12,21,4,1,1,4
2020-01-02,0,6,34,6,8,29,4,1,1,3
2020-01-03,5,6,40,9,5,29,4,1,1,5
2020-01-04,0,6,35,9,9,32,5,1,1,5
2020-01-05,0,10,51,9,14,29,5,1,1,3
2020-01-06,0,7,37,10,8,29,4,1,1,1
2020-01-07,2,4,60,8,5,26,4,1,1,3
2020-01-08,0,5,71,8,6,29,4,1,1,3
2020-01-09,0,7,66,9,7,29,4,1,1,6
2020-01-10,7,8,59,8,6,32,4,1,1,4
2020-01-11,0,7,64,9,8,30,5,1,1,3
2020-01-12,0,3,80,11,9,35,5,1,2,7
2020-01-13,5,6,59,8,8,32,4,1,1,3
2020-01-14,4,5,64,7,5,25,4,1,1,2
2020-01-15,0,9,59,7,7,28,4,1,1,3
2020-01-16,5,9,58,8,7,30,4,1,1,1
2020-01-17,2,6,48,8,8,24,4,1,1,1
2020-01-18,3,7,49,9,7,36,5,1,1,3
2020-01-19,3,8,62,9,4,35,5,1,2,2
2020-01-20,3,7,69,9,9,34,5,1,1,8
2020-01-21,2,8,53,7,8,34,5,1,1,4
2020-01-22,0,7,53,8,9,33,5,1,1,3
2020-01-23,2,8,44,8,7,35,5,1,1,3
2020-01-24,2,6,56,7,7,26,6,1,1,4
2020-01-25,3,7,42,10,11,28,7,1,1,4
2020-01-26,5,7,52,8,9,26,8,1,1,5
2020-01-27,5,5,48,9,8,31,9,1,1,3
2020-01-28,5,8,55,8,9,28,9,2,1,4
2020-01-29,5,7,51,7,5,24,8,3,1,12
2020-01-30,5,6,53,9,5,31,9,2,1,3
2020-01-31,2,4,45,8,6,27,9,2,1,2
2020-02-01,0,6,57,10,5,29,9,2,1,3
2020-02-02,0,8,63,11,10,30,8,2,1,3
2020-02-03,0,7,43,7,5,30,7,2,1,1
2020-02-04,2,8,49,6,8,29,7,2,1,5
2020-02-05,5,8,58,8,6,27,6,2,1,4
2020-02-06,2,9,57,11,7,29,6,2,1,4
2020-02-07,7,6,42,8,8,31,6,2,1,6
2020-02-08,3,3,62,9,9,32,7,1,1,3
2020-02-09,8,4,65,10,13,35,7,2,1,3
2020-02-10,7,4,56,7,8,31,6,2,1,6
2020-02-11,0,7,47,8,8,31,6,1,1,5
2020-02-12,14,11,61,11,8,31,6,1,1,3
2020-02-13,2,6,60,7,6,27,6,1,1,3
2020-02-14,0,6,33,7,8,29,6,1,1,2
2020-02-15,3,12,51,8,16,29,6,1,1,5
2020-02-16,11,6,56,8,6,32,6,1,2,5
2020-02-17,5,7,61,10,3,37,6,1,1,5
2020-02-18,0,9,61,9,9,35,5,1,1,5
2020-02-19,7,6,51,10,7,33,5,1,1,5
2020-02-20,2,5,65,8,9,34,5,1,1,1
2020-02-21,2,6,59,6,9,31,5,1,1,7
2020-02-22,3,5,72,9,8,34,6,1,1,3
2020-02-23,5,9,56,10,6,32,7,1,2,3
2020-02-24,9,9,69,8,9,33,7,2,1,3
2020-02-25,11,4,53,9,12,34,11,2,1,8
2020-02-26,13,12,56,9,17,34,22,4,1,9
2020-02-27,7,8,67,9,18,35,22,5,1,6
2020-02-28,14,6,61,9,12,37,19,7,1,3
2020-02-29,3,10,74,15,30,35,17,11,2,7
2020-03-01,5,6,76,15,30,39,13,13,2,5
2020-03-02,9,10,68,17,20,40,12,22,2,8
2020-03-03,22,11,45,26,18,39,11,32,3,17
2020-03-04,11,9,52,32,19,45,10,37,4,11
2020-03-05,22,10,80,38,18,48,10,45,4,8
2020-03-06,100,15,66,49,22,51,10,51,5,8
2020-03-07,44,13,83,50,29,63,10,54,7,19
2020-03-08,46,11,90,55,18,57,9,49,8,7
2020-03-09,48,14,84,49,28,58,9,54,10,9
2020-03-10,38,14,66,51,27,59,9,60,19,10
2020-03-11,41,21,51,61,29,65,10,67,29,7
2020-03-12,50,32,50,97,56,84,14,100,57,20
2020-03-13,65,39,53,96,70,92,13,94,92,22
2020-03-14,68,46,54,100,90,100,13,82,100,15
2020-03-15,63,56,71,86,84,89,12,70,74,20
2020-03-16,58,49,49,70,100,79,13,62,56,22
2020-03-17,74,50,53,64,86,77,13,52,49,26
2020-03-18,36,74,54,56,82,88,14,46,47,33
2020-03-19,50,100,49,59,61,73,17,44,43,46
2020-03-20,37,69,51,56,56,76,20,40,41,40
2020-03-21,43,61,52,69,59,72,27,45,43,60
2020-03-22,48,43,61,70,55,83,27,44,42,57
2020-03-23,58,67,39,62,40,69,24,36,31,52
2020-03-24,40,69,49,51,32,72,22,31,26,53
2020-03-25,25,63,48,51,34,71,21,29,23,44
2020-03-26,45,62,60,47,24,81,21,30,20,51
2020-03-27,25,54,44,50,20,78,20,29,20,52
2020-03-28,38,50,58,55,34,84,24,32,22,57
2020-03-29,54,35,51,60,35,94,25,32,20,58
2020-03-30,52,50,68,56,22,80,24,30,18,61
2020-03-31,45,75,63,64,28,77,31,33,19,67
2020-04-01,62,75,65,61,32,87,37,35,20,82
2020-04-02,52,75,65,72,24,87,46,35,20,76
2020-04-03,48,61,52,74,33,81,74,34,19,72
2020-04-04,24,65,76,76,36,96,100,37,21,100
2020-04-05,20,37,100,68,33,90,72,33,20,92
2020-04-06,34,43,67,55,33,78,58,28,15,66
2020-04-07,43,34,58,51,21,73,51,28,15,60
2020-04-08,30,33,56,47,30,77,46,26,15,53
2020-04-09,37,33,71,44,21,72,42,25,14,55
2020-04-10,33,25,59,43,27,69,42,24,13,53
2020-04-11,35,28,81,44,31,71,40,23,13,69
2020-04-12,17,22,71,42,31,67,31,17,10,49
2020-04-13,22,25,62,39,16,66,28,19,10,45
2020-04-14,31,34,71,38,23,69,29,21,9,37
2020-04-15,37,30,64,38,15,61,32,20,9,53
2020-04-16,25,25,57,38,18,60,39,21,9,65
2020-04-17,17,31,64,34,23,65,39,21,8,64
2020-04-18,12,21,84,35,22,66,40,21,8,52
2020-04-19,17,16,71,37,22,65,36,19,8,53
2020-04-20,29,30,57,31,12,56,29,17,7,39
2020-04-21,27,30,57,32,17,54,29,18,7,52
2020-04-22,15,28,61,29,12,57,29,19,7,51
